Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-18;Mujer;Carabanchel;Entre 26 y 35 años;Española;5611;Auxiliares de enfermería hospitalaria;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio
ene-18;Mujer;Tetuán;Entre 36 y 45 años;Española;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Mujer;Arganzuela;Entre 46 y 55 años;Comunitaria;3522;Agentes de compras;2432;Ingenieros en construcción y obra civil;4424;Teleoperadores
ene-18;Mujer;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles);5420;Operadores de telemarketing
ene-18;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;7111;Encofradores y operarios de puesta en obra de hormigón;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Mujer;Latina;Entre 56 y 65 años;Española;5420;Operadores de telemarketing;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
ene-18;Hombre;Moratalaz;Entre 36 y 45 años;Comunitaria;8331;Operadores de maquinaria de movimientos de tierras y equipos similares;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;7191;Mantenedores de edificios
ene-18;Hombre;Salamanca;Entre 26 y 35 años;Española;9431;Ordenanzas;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9811;Peones del transporte de mercancías y descargadores
ene-18;Hombre;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;9310;Ayudantes de cocina;9310;Ayudantes de cocina;9820;Reponedores
ene-18;Hombre;Latina;Entre 26 y 35 años;Extracomunitaria;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes;;
ene-18;Hombre;Chamberí;Entre 46 y 55 años;Española;2625;Especialistas en formación de personal;3532;Organizadores de conferencias y eventos;3613;Asistentes de dirección y administrativos
ene-18;Mujer;Puente De Vallecas;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos
ene-18;Hombre;Otro Municipio;Entre 46 y 55 años;Española;7121;Albañiles;7122;Canteros, tronzadores, labrantes y grabadores de piedras;7231;Pintores y empapeladores
ene-18;Hombre;Fuencarral-el Pardo;Entre 46 y 55 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;8440;Conductores de motocicletas y ciclomotores;9811;Peones del transporte de mercancías y descargadores
ene-18;Mujer;Villaverde;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;;;;
ene-18;Hombre;Centro;Entre 56 y 65 años;Española;7510;Electricistas de la construcción y afines;7510;Electricistas de la construcción y afines;7510;Electricistas de la construcción y afines
ene-18;Mujer;Puente De Vallecas;Entre 46 y 55 años;Extracomunitaria;9100;Empleados domésticos;8153;Operadores de máquinas de coser y bordar;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;5811;Peluqueros;9820;Reponedores;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-18;Mujer;Ciudad Lineal;Entre 36 y 45 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
ene-18;Mujer;Hortaleza;Entre 36 y 45 años;Extracomunitaria;5300;Comerciantes propietarios de tiendas;;;;
ene-18;Mujer;Ciudad Lineal;Entre 36 y 45 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio
ene-18;Mujer;Salamanca;Entre 26 y 35 años;Española;3534;Agentes y administradores de la propiedad inmobiliaria;;;;
ene-18;Mujer;Puente De Vallecas;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;;;;
ene-18;Mujer;Moratalaz;Entre 46 y 55 años;Comunitaria;5300;Comerciantes propietarios de tiendas;;;;
ene-18;Mujer;Moncloa-aravaca;Entre 26 y 35 años;Comunitaria;2484;Diseñadores gráficos y multimedia;;;;
ene-18;Mujer;Ciudad Lineal;Entre 26 y 35 años;Extracomunitaria;2159;Profesionales de la salud no clasificados bajo otros epígrafes;;;;
ene-18;Hombre;Ciudad Lineal;Entre 26 y 35 años;Española;9310;Ayudantes de cocina;5110;Cocineros asalariados;;
ene-18;Hombre;Otro Municipio;Entre 26 y 35 años;Española;9310;Ayudantes de cocina;5110;Cocineros asalariados;;
ene-18;Hombre;Puente De Vallecas;Menor de 25 años;Española;3724;Monitores de actividades recreativas y de entretenimiento;3713;Profesionales de apoyo al trabajo y a la educación social;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-18;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;3724;Monitores de actividades recreativas y de entretenimiento;;;;
ene-18;Hombre;Carabanchel;Menor de 25 años;Española;5120;Camareros asalariados;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
ene-18;Mujer;Latina;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
